1,亜,亞,二,7,S,,sub-,あ
1345,誕,,言,15,6,,nativity,たん
1347,団,團,囗,6,5,,group,ダン
1347,団,團,囗,6,5,,group,だん
1348,男,,田,7,1,,male,だん
1349,段,,殳,9,6,,steps,だん
1350,断,斷,斤,11,5,,cut off,だん
1351,弾,彈,弓,12,S,,bullet,だん
1353,談,,言,15,3,,discuss,ダン
1353,談,,言,15,3,,discuss,だん
1355,地,,土,6,2,,ground,チ
1355,地,,土,6,2,,ground,ちち
1356,池,,水,6,2,,pond,ち
1357,知,,矢,8,2,,know,ち
1358,値,,人,10,6,,value,ち
1360,致,,至,10,S,,do,チ
1360,致,,至,10,S,,do,ち
1361,遅,遲,辵,12,S,,slow,ち
1363,稚,,禾,13,S,,immature,チ
1364,置,,网,13,4,,put,チ
1364,置,,网,13,4,,put,ち
1366,竹,,竹,6,1,,bamboo,チク
1366,竹,,竹,6,1,,bamboo,ちく
1368,逐,,辵,10,S,,pursue,チク
1369,蓄,,艸,13,S,,amass,チク
1370,築,,竹,16,5,,fabricate,チク
1370,築,,竹,16,5,,fabricate,ちく
1371,秩,,禾,10,S,,regularity,ちつ
1373,茶,,艸,9,2,,tea,チャ
1374,着,,羊,12,3,,wear,チャク
1374,着,,羊,12,3,,wear,ちゃく
1376,中,,丨,4,1,,middle,チュウ
1376,中,,丨,4,1,,middle,ちゅうちゅう
1377,仲,,人,6,4,,relationship,ちゅう
1378,虫,蟲,虫,6,1,,insect,ちゅう
1379,沖,,水,7,4,,open sea,ちゅう
1380,宙,,宀,8,6,,mid-air,ちゅう
1381,忠,,心,8,6,,loyalty,ちゅう
1382,抽,,手,8,S,,pluck,ちゅう
1383,注,,水,8,3,,pour,ちゅう
1384,昼,晝,日,9,2,,daytime,ちゅう
1386,衷,,衣,9,S,,inmost,チュウ
1387,酎,,酉,10,S,2010,sake,チュウ
1388,鋳,鑄,金,15,S,,casting,チュウ
1389,駐,,馬,15,S,,stop-over,チュウ
1389,駐,,馬,15,S,,stop-over,ちゅう
1390,著,著,艸,11,6,,renowned,ちょ
1392,丁,,一,2,3,,ward,チョウ
1392,丁,,一,2,3,,ward,ちょう
1394,庁,廳,广,5,6,,government office,チョウ
1394,庁,廳,广,5,6,,government office,ちょう
1396,町,,田,7,1,,town,チョウ
1396,町,,田,7,1,,town,ちょう
1397,長,,長,8,2,,long,ちょう
1398,挑,,手,9,S,1981,challenge,ちょう
1400,張,,弓,11,5,,stretch,チョウ
1400,張,,弓,11,5,,stretch,ちょう
1402,眺,,目,11,S,1981,stare,チョウ
1403,釣,,金,11,S,1981,angling,チョウ
1404,頂,,頁,11,6,,place on the head,チョウ
1404,頂,,頁,11,6,,place on the head,ちょう
1405,鳥,,鳥,11,2,,bird,ちょう
1406,朝,,月,12,2,,morning,ちょう
1407,貼,,貝,12,S,2010,paste,ちょう
1408,超,,走,12,S,,transcend,ちょう
1410,跳,,足,13,S,,hop,チョウ
1411,徴,徵,彳,14,S,,indications,チョウ
1411,徴,徵,彳,14,S,,indications,ちょう
1413,潮,,水,15,6,,tide,チョウ
1413,潮,,水,15,6,,tide,ちょう
1415,調,,言,15,3,,investigate,チョウ
1415,調,,言,15,3,,investigate,ちょう
1417,懲,懲,心,18,S,,penal,チョウ
1418,直,,目,8,2,,straight,チョク
1418,直,,目,8,2,,straight,ちょく
1420,捗,,手,10,S,2010,make progress,チョク
1421,沈,,水,7,S,,sink,チン
1421,沈,,水,7,S,,sink,ちん
1422,珍,,玉,9,S,,rare,ん
1424,陳,,阜,11,S,,exhibit,チン
1425,賃,,貝,13,6,,fare,チン
1425,賃,,貝,13,6,,fare,ん
1427,追,,辵,9,3,,follow,ツイ
1427,追,,辵,9,3,,follow,つい
1429,墜,,土,15,S,,crash,ツイ
1429,墜,,土,15,S,,crash,つい
1430,通,,辵,10,2,,pass through,つう
1432,塚,塚,土,12,S,1981,hillock,つか
1432,塚,塚,土,12,S,1981,hillock,つか
1434,坪,,土,8,S,,two-mat area,つぼ
1435,爪,,爪,4,S,2010,claw,つめ、（つま）
1436,鶴,,鳥,21,S,2010,crane,つる
1436,鶴,,鳥,21,S,2010,crane,つる
1437,低,,人,7,4,,low,てい
1439,廷,,廴,7,S,,courts,テイ
1439,廷,,廴,7,S,,courts,てい
1440,弟,,弓,7,2,,younger brother,てい
1441,定,,宀,8,3,,decide,てい
1442,底,,广,8,4,,bottom,てい
1443,抵,,手,8,S,,resist,てい
1445,亭,,亠,9,S,1981,pavilion,テイ
1446,貞,,貝,9,S,,upright,テイ
1447,帝,,巾,9,S,,sovereign,テイ
1447,帝,,巾,9,S,,sovereign,てい
1448,訂,,言,9,S,,revise,てい
1449,庭,,广,10,3,,garden,てい
1451,停,,人,11,5,,halt,テイ
1451,停,,人,11,5,,halt,てい
1452,偵,,人,11,S,1981,spy,てい
1454,提,,手,12,5,,present,テイ
1454,提,,手,12,5,,present,てい
1455,程,,禾,12,5,,extent,てい
1456,艇,,舟,13,S,,rowboat,てい
1457,締,,糸,15,S,,tighten,てい
1459,泥,,水,8,S,1981,mud,デイ
1460,的,,白,8,4,,target,テキ
1460,的,,白,8,4,,target,てき
1462,摘,,手,14,S,,pinch,テキ
1463,滴,,水,14,S,,drip,テキ
1464,適,,辵,14,5,,suitable,テキ
1464,適,,辵,14,5,,suitable,てき
1465,敵,,攴,15,6,,enemy,てき
1467,迭,,辵,8,S,,transfer,テツ
1468,哲,,口,10,S,,philosophy,テツ
1468,哲,,口,10,S,,philosophy,てつ
1469,鉄,鐵,金,13,3,,iron,てつ
1470,徹,,彳,15,S,,penetrate,てつ
1471,撤,,手,15,S,,remove,てつ
1472,天,,大,4,1,,heaven,てんてん
1473,典,,八,8,4,,code,てん
1474,店,,广,8,2,,shop,てん
1475,点,點,黑,9,2,,point,てん
1476,展,,尸,10,6,,expand,てん
1477,添,,水,11,S,,annexed,てん
1478,転,轉,車,11,3,,revolve,てん
1480,田,,田,5,1,,rice paddy,デン
1480,田,,田,5,1,,rice paddy,でん
1481,伝,傳,人,6,4,,transmit,でん
1482,殿,,殳,13,S,,Mr.,でん
1483,電,,雨,13,2,,electricity,でん
1484,斗,,斗,4,S,,Big Dipper,と
1486,妬,,女,8,S,2010,jealousy,ト
1487,徒,,彳,10,4,,junior,ト
1487,徒,,彳,10,4,,junior,と
1488,途,,辵,10,S,,route,と
1489,都,都,邑,11,3,,metropolis,と
1490,渡,,水,12,S,,transit,と
1492,賭,,貝,16,S,2010,gamble,ト
1493,土,,土,3,1,,soil,ド
1493,土,,土,3,1,,soil,ど
1494,奴,,女,5,S,,guy,ど
1495,努,,力,7,4,,toil,ど
1496,度,,广,9,3,,degrees,ど
1498,刀,,刀,2,2,,sword,トウ
1499,冬,,冫,5,2,,winter,トウ
1499,冬,,冫,5,2,,winter,とう
1500,灯,燈,火,6,4,,lamp,とう
1501,当,當,田,6,2,,hit,とう
1502,投,,手,7,3,,throw,とう
1503,豆,,豆,7,3,,beans,とう
1504,東,,木,8,2,,east,とう
1505,到,,刀,8,S,,arrival,とう
1506,逃,,辵,9,S,,escape,とう
1507,倒,,人,10,S,,overthrow,とう
1509,唐,,口,10,S,,T'ang,トウ
1509,唐,,口,10,S,,T'ang,とう
1510,島,,山,10,3,,island,とう
1511,桃,,木,10,S,,peach tree,とう
1512,討,,言,10,6,,chastise,とう
1513,透,,辵,10,S,,transparent,とう
1514,党,黨,黑,10,6,,group,とう
1516,盗,盜,皿,11,S,,steal,トウ
1516,盗,盜,皿,11,S,,steal,とう
1518,塔,,土,12,S,,pagoda,トウ
1519,搭,,手,12,S,1981,board,トウ
1519,搭,,手,12,S,1981,board,とう
1521,湯,,水,12,3,,hot water,トウ
1522,痘,,疒,12,S,,pox,トウ
1523,登,,癶,12,3,,climb,トウ
1523,登,,癶,12,3,,climb,とう
1524,答,,竹,12,2,,answer,とう
1525,等,,竹,12,3,,class,とう
1526,筒,,竹,12,S,,cylinder,とう
1527,統,,糸,12,5,,unite,とう
1528,稲,稻,禾,14,S,,rice plant,とう
1529,踏,,足,15,S,,step,とう
1531,頭,,頁,16,2,,head,トウ
1531,頭,,頁,16,2,,head,とう
1533,藤,,艸,18,S,2010,wisteria,トウ
1533,藤,,艸,18,S,2010,wisteria,とう
1534,闘,鬭,鬥,18,S,,fight,とう
1536,同,,口,6,2,,same,ドウ
1536,同,,口,6,2,,same,どう
1537,洞,,水,9,S,1981,den,どう
1539,動,,力,11,3,,move,ドウ
1539,動,,力,11,3,,move,どう
1540,堂,,土,11,5,,public chamber,どう
1541,童,,立,12,3,,juvenile,どう
1542,道,,辵,12,2,,road,どう
1543,働,,人,13,4,,work,どう
1544,銅,,金,14,5,,copper,どう
1545,導,,寸,15,5,,guide,どう
1547,峠,,山,9,S,,mountain peak,とうげ
1548,匿,,匸,10,S,,hide,トク
1549,特,,牛,10,4,,special,トク
1549,特,,牛,10,4,,special,とく
1550,得,,彳,11,5,,acquire,とく
1551,督,,目,13,S,,coach,とく
1552,徳,德,彳,14,4,,benevolence,とく
1554,毒,,毋,8,5,,poison,ドク
1554,毒,,毋,8,5,,poison,どく
1555,独,獨,犬,9,5,,alone,どく
1556,読,讀,言,14,2,,read,どく
1558,凸,,凵,5,S,1981,convex,トツ
1559,突,突,穴,8,S,,stab,トツ
1559,突,突,穴,8,S,,stab,とつ
1561,屯,,屮,4,S,1981,barracks,トン
1562,豚,,豕,11,S,,pork,トン
1563,頓,,頁,13,S,2010,suddenly,トン
1564,貪,,貝,11,S,2010,covet,ドン
1565,鈍,,金,12,S,,dull,ドン
1566,曇,,日,16,S,,cloudy weather,ドン
1567,丼,,丶,5,S,2010,bowl of food,どんぶり、（どん）
1568,那,,邑,7,S,2010,what,ナ
1568,那,,邑,7,S,2010,what,な
1569,奈,,大,8,4,2010,what,な
1570,内,,入,4,2,,inside,ない
1571,梨,,木,11,4,2010,pear tree,なし
1573,鍋,,金,17,S,2010,pot,なべ
1574,南,,十,9,2,,south,ナン
1574,南,,十,9,2,,south,なん
1576,難,難,隹,18,6,,difficult,ナン
1576,難,難,隹,18,6,,difficult,なん
1577,二,,二,2,1,,two,に
1578,尼,,尸,5,S,,nun,に
1580,匂,,勹,4,S,2010,scent,にお-う
1581,肉,,肉,6,2,,meat,ニク
1581,肉,,肉,6,2,,meat,にく
1583,日,,日,4,1,,day,ニチ
1583,日,,日,4,1,,day,にち
1584,入,,入,2,1,,enter,にゅう
1585,乳,,乙,8,6,,milk,にゅう
1587,任,,人,6,5,,responsibility,ニン
1587,任,,人,6,5,,responsibility,にん
1589,忍,,心,7,S,,endure,ニン
1589,忍,,心,7,S,,endure,にん
1590,認,,言,14,6,,recognize,にん
1591,寧,,宀,14,S,,rather,ねい
1592,熱,,火,15,4,,heat,ねつ
1593,年,,干,6,1,,year,ねんねん
1594,念,,心,8,4,,thought,ねん
1596,粘,,米,11,S,,sticky,ネン
1597,燃,,火,16,5,,burn,ネン
1597,燃,,火,16,5,,burn,ねん
1599,納,,糸,10,6,,settlement,ノウ
1600,能,,肉,10,5,,ability,ノウ
1600,能,,肉,10,5,,ability,のう
1601,脳,腦,肉,11,6,,brain,のう
1602,農,,辰,13,3,,farming,のう
1603,濃,,水,16,S,,concentrated,のう
1605,波,,水,8,3,,wave,ハ
1605,波,,水,8,3,,wave,は
1606,派,,水,9,6,,sect,は
1607,破,,石,10,5,,rend,は
1608,覇,霸,雨,19,S,1981,hegemony,は
1609,馬,,馬,10,2,,horse,ば
1611,罵,,网,15,S,2010,insult,バ
1612,拝,拜,手,8,6,,worship,ハイ
1612,拝,拜,手,8,6,,worship,はい
1614,背,,肉,9,6,,back,ハイ
1614,背,,肉,9,6,,back,はい
1616,俳,,人,10,6,,haiku,ハイ
1616,俳,,人,10,6,,haiku,はい
1617,配,,酉,10,3,,distribute,はい
1618,排,,手,11,S,,repudiate,はい
1619,敗,,攴,11,4,,failure,はい
1620,廃,廢,广,12,S,,abolish,はい
1621,輩,,車,15,S,,comrade,はい
1622,売,賣,貝,7,2,,sell,ばい
1623,倍,,人,10,3,,double,ばい
1624,梅,梅,木,10,4,,ume,ばい
1626,陪,,阜,11,S,,obeisance,バイ
1627,媒,,女,12,S,,mediator,バイ
1628,買,,貝,12,2,,buy,バイ
1628,買,,貝,12,2,,buy,ばい
1630,白,,白,5,1,,white,ハク
1630,白,,白,5,1,,white,はく
1631,伯,,人,7,S,,chief,はく
1633,泊,,水,8,S,,overnight,ハク
1633,泊,,水,8,S,,overnight,はく
1634,迫,,辵,8,S,,urge,はく
1636,舶,,舟,11,S,,liner,ハク
1637,博,,十,12,4,,Dr.,ハク
1637,博,,十,12,4,,Dr.,はく
1638,薄,,艸,16,S,,dilute,はく
1640,漠,,水,13,S,1981,vague,バク
1641,縛,,糸,16,S,,truss,バク
1642,爆,,火,19,S,,explode,バク
1642,爆,,火,19,S,,explode,ばく
1643,箱,,竹,15,3,,box,はこ
1645,畑,,田,9,3,,farm,はた、はたけ
1646,肌,,肉,6,S,1981,texture,はだ
1647,八,,八,2,1,,eight,ハチ
1647,八,,八,2,1,,eight,はち
1649,発,發,癶,9,3,,departure,ハツ
1649,発,發,癶,9,3,,departure,はつ
1651,伐,,人,6,S,,fell,バツ
1652,抜,拔,手,7,S,,slip out,バツ
1652,抜,拔,手,7,S,,slip out,ばつ
1654,閥,,門,14,S,,clique,バツ
1655,反,,又,4,3,,anti-,ハン
1655,反,,又,4,3,,anti-,はん
1656,半,,十,5,2,,half,はん
1658,犯,,犬,5,5,,crime,ハン
1658,犯,,犬,5,5,,crime,はん
1660,汎,,水,6,S,2010,pan-,ハン
1661,伴,,人,7,S,,consort,ハン
1661,伴,,人,7,S,,consort,はん
1662,判,,刀,7,5,,judge,はん
1663,坂,,土,7,3,,slope,はん
1664,阪,,阜,7,4,2010,heights,はん
1665,板,,木,8,3,,board,はん
1666,版,,片,8,5,,printing block,はん
1668,畔,,田,10,S,,paddy-ridge,ハン
1669,般,,舟,10,S,,generally,ハン
1669,般,,舟,10,S,,generally,はん
1670,販,,貝,11,S,,marketing,はん
1672,飯,,食,12,4,,meal,ハン
1672,飯,,食,12,4,,meal,はん
1674,煩,,火,13,S,,anxiety,ハン
1675,頒,,頁,13,S,,partition,ハン
1676,範,,竹,15,S,,pattern,ハン
1676,範,,竹,15,S,,pattern,はん
1677,繁,繁,糸,16,S,,luxuriant,はん
1678,藩,,艸,18,S,,clan,はん
1679,晩,晚,日,12,6,,nightfall,ばん
1680,番,,田,12,2,,one's turn,ばん
1682,盤,,皿,15,S,,tray,バン
1682,盤,,皿,15,S,,tray,ばん
1683,比,,比,4,5,,compare,ひ
1684,皮,,皮,5,3,,skin,ひ
1685,妃,,女,6,S,,queen,ひ
1686,否,,口,7,6,,negate,ひ
1687,批,,手,7,6,,criticism,ひ
1688,彼,,彳,8,S,,he,かれ
1690,肥,,肉,8,5,,fertilizer,ヒ
1691,非,,非,8,5,,negative,ヒ
1691,非,,非,8,5,,negative,ひ
1693,飛,,飛,9,4,,fly,ヒ
1693,飛,,飛,9,4,,fly,ひ
1695,秘,祕,示,10,6,,secret,ヒ
1695,秘,祕,示,10,6,,secret,ひ
1696,被,,衣,10,S,,incur,ひ
1697,悲,,心,12,3,,sad,ひ
1699,費,,貝,12,5,,expense,ヒ
1699,費,,貝,12,5,,expense,ひ
1701,罷,,网,15,S,,quit,ヒ
1702,避,,辵,16,S,,evade,ヒ
1702,避,,辵,16,S,,evade,ひ
1703,尾,,尸,7,S,,tail,び
1705,美,,羊,9,3,,beauty,ビ
1705,美,,羊,9,3,,beauty,び
1706,備,,人,12,5,,provide,び
1707,微,,彳,13,S,,delicate,び
1709,膝,,肉,15,S,2010,knee,ひざ
1710,肘,,肉,7,S,2010,elbow,ひじ
1711,匹,,匸,4,S,,equal,ヒツ
1712,必,,心,5,4,,without fail,ヒツ
1712,必,,心,5,4,,without fail,ひつ
1714,筆,,竹,12,3,,writing brush,ヒツ
1714,筆,,竹,12,3,,writing brush,ひつ
1715,姫,,女,10,S,,princess,ひめ
1716,百,,白,6,1,,hundred,ひゃく
1718,表,,衣,8,3,,express,ヒョウ
1718,表,,衣,8,3,,express,ひょう
1720,票,,示,11,4,,ballot,ヒョウ
1720,票,,示,11,4,,ballot,ひょう
1721,評,,言,12,5,,evaluate,ひょう
1723,標,,木,15,4,,signpost,ヒョウ
1723,標,,木,15,4,,signpost,ひょう
1725,秒,,禾,9,3,,second,ビョウ
1725,秒,,禾,9,3,,second,びょう
1726,病,,疒,10,3,,sick,びょう
1727,描,,手,11,S,,sketch,びょう
1729,品,,口,9,3,,article,ヒン
1729,品,,口,9,3,,article,ひん
1730,浜,濱,水,10,S,,seacoast,ひん
1732,賓,賓,貝,15,S,,V.I.P.,ヒン
1733,頻,頻,頁,17,S,1981,repeatedly,ヒン
1733,頻,頻,頁,17,S,1981,repeatedly,ひん
1735,瓶,甁,瓦,11,S,1981,flower pot,ビン
1736,不,,一,4,4,,non-,フ
1736,不,,一,4,4,,non-,ふ
1737,夫,,大,4,4,,husband,ふ
1738,父,,父,4,2,,father,ふ
1739,付,,人,5,4,,attach,ふ
1740,布,,巾,5,5,,linen,ふ
1742,府,,广,8,4,,urban prefecture,フ
1742,府,,广,8,4,,urban prefecture,ふ
1744,阜,,阜,8,4,2010,mound,（フ）
1745,附,,阜,8,S,,affixed,フ
1745,附,,阜,8,S,,affixed,ふ
1747,負,,貝,9,3,,lose,フ
1747,負,,貝,9,3,,lose,ふ
1749,浮,,水,10,S,,floating,フ
1749,浮,,水,10,S,,floating,ふ
1750,婦,,女,11,5,,lady,ふ
1751,符,,竹,11,S,,token,ふ
1752,富,,宀,12,4,,rich,ふ
1753,普,,日,12,S,,universal,ふ
1755,敷,,攴,15,S,,spread,フ
1755,敷,,攴,15,S,,spread,ふ
1757,賦,,貝,15,S,,levy,フ
1758,譜,,言,19,S,,musical score,フ
1758,譜,,言,19,S,,musical score,ふ
1760,武,,止,8,5,,military,ブ
1760,武,,止,8,5,,military,ぶ
1761,部,,邑,11,3,,part,ぶ
1762,舞,,舛,15,S,,dance,ぶ
1763,封,,寸,9,S,,seal,ふう
1764,風,,風,9,2,,wind,ふう
1765,伏,,人,6,S,,prostrated,ふく
1766,服,,月,8,3,,clothes,ふく
1767,副,,刀,11,4,,vice,ふく
1768,幅,,巾,12,S,,breadth,ふく
1769,復,,彳,12,5,,again,ふく
1770,福,福,示,13,3,,luck,ふく
1772,複,,衣,14,5,,duplicate,フク
1772,複,,衣,14,5,,duplicate,ふく
1774,払,拂,手,5,S,,pay,フツ
1775,沸,,水,8,S,,seethe,フツ
1776,仏,佛,人,4,5,,Buddha,ブツ
1776,仏,佛,人,4,5,,Buddha,
1777,物,,牛,8,3,,thing,ぶつ
1779,紛,,糸,10,S,,distract,フン
1780,雰,,雨,12,S,1981,atmosphere,フン
1781,噴,,口,15,S,,erupt,フン
1782,墳,,土,15,S,,tomb,フン
1782,墳,,土,15,S,,tomb,ふん
1784,奮,,大,16,6,,stirred up,フン
1785,分,,刀,4,2,,part,ブン
1785,分,,刀,4,2,,part,ぶん
1786,文,,文,4,1,,writing,ぶん
1787,聞,,耳,14,2,,hear,ぶん
1789,平,,干,5,3,,flat,ヘイ
1789,平,,干,5,3,,flat,へい
1790,兵,,八,7,4,,soldier,へい
1791,併,倂,人,8,S,,join,へい
1792,並,竝,立,8,6,,line-up,へい
1793,柄,,木,9,S,,design,へい
1795,閉,,門,11,6,,closed,ヘイ
1795,閉,,門,11,6,,closed,へい
1797,幣,,巾,15,S,,cash,ヘイ
1797,幣,,巾,15,S,,cash,へい
1799,蔽,,艸,15,S,2010,cover,ヘイ
1800,餅,餠,食,15,S,2010,mochi rice cake,ヘイ
1801,米,,米,6,2,,rice,ベイ
1801,米,,米,6,2,,rice,べい
1803,璧,,玉,18,S,2010,sphere,ヘキ
1804,癖,,疒,18,S,,mannerism,ヘキ
1805,別,,刀,7,4,,separate,ベツ
1805,別,,刀,7,4,,separate,べつ
1807,片,,片,4,6,,one-sided,ヘン
1807,片,,片,4,6,,one-sided,へん
1808,辺,邊,辵,5,4,,environs,へん
1809,返,,辵,7,3,,return,へん
1810,変,變,言,9,4,,change,へん
1812,遍,,辵,12,S,,everywhere,ヘン
1813,編,,糸,15,5,,compile,ヘン
1813,編,,糸,15,5,,compile,へん
1814,弁,辨,辛,5,5,,valve,べん
1815,便,,人,9,4,,convenience,べん
1816,勉,勉,力,10,3,,exertion,べん
1817,歩,步,止,8,2,,walk,ほ
1818,保,,人,9,5,,preserve,ほ
1820,捕,,手,10,S,,catch,ホ
1820,捕,,手,10,S,,catch,ほ
1821,補,,衣,12,6,,supplement,ほ
1823,母,,毋,5,2,,mother,ボ
1823,母,,毋,5,2,,mother,ぼ
1824,募,,力,12,S,,recruit,ぼ
1825,墓,,土,13,5,,grave,ぼ
1827,暮,,日,14,6,,livelihood,ボ
1827,暮,,日,14,6,,livelihood,ぼ
1828,簿,,竹,19,S,,register,ぼ
1829,方,,方,4,2,,direction,ほう
1830,包,,勹,5,4,,wrap,ほう
1832,邦,,邑,7,S,,home country,ホウ
1832,邦,,邑,7,S,,home country,ほう
1834,宝,寶,宀,8,6,,treasure,ホウ
1834,宝,寶,宀,8,6,,treasure,ほう
1835,抱,,手,8,S,,embrace,ほう
1836,放,,攴,8,3,,release,ほう
1837,法,,水,8,4,,method,ほう
1839,胞,,肉,9,S,,placenta,ホウ
1840,俸,,人,10,S,1981,salary,ホウ
1841,倣,,人,10,S,,emulate,ホウ
1842,峰,,山,10,S,,summit,ホウ
1843,砲,,石,10,S,,cannon,ホウ
1843,砲,,石,10,S,,cannon,ほう
1845,訪,,言,11,6,,visit,ホウ
1845,訪,,言,11,6,,visit,ほう
1846,報,,土,12,5,,report,ほう
1848,豊,豐,豆,13,5,,bountiful,ホウ
1848,豊,豐,豆,13,5,,bountiful,ほう
1850,褒,襃,衣,15,S,1981,praise,ホウ
1851,縫,,糸,16,S,,sew,ホウ
1852,亡,,亠,3,6,,deceased,ボウ
1852,亡,,亠,3,6,,deceased,ぼう
1854,忙,,心,6,S,,busy,ボウ
1855,坊,,土,7,S,,boy,ボウ
1856,妨,,女,7,S,,disturb,ボウ
1857,忘,,心,7,6,,forget,ボウ
1858,防,,阜,7,5,,prevent,ボウ
1858,防,,阜,7,5,,prevent,ぼう
1859,房,,戶,8,S,,tassel,ぼう
1861,某,,木,9,S,,so-and-so,ボウ
1862,冒,,冂,9,S,,risk,ボウ
1862,冒,,冂,9,S,,risk,ぼう
1864,紡,,糸,10,S,,spinning,ボウ
1865,望,,月,11,4,,hope,ボウ
1865,望,,月,11,4,,hope,ぼう
1867,帽,,巾,12,S,,cap,ボウ
1868,棒,,木,12,6,,rod,ボウ
1868,棒,,木,12,6,,rod,ぼう
1870,貌,,豸,14,S,2010,appearance,ボウ
1871,暴,,日,15,5,,outburst,ボウ
1871,暴,,日,15,5,,outburst,ぼう
1873,謀,,言,16,S,,conspire,ボウ
1873,謀,,言,16,S,,conspire,ぼう
1875,北,,匕,5,2,,north,ホク
1875,北,,匕,5,2,,north,ほく
1876,木,,木,4,1,,tree,もく
1878,牧,,牛,8,4,,breed,ボク
1878,牧,,牛,8,4,,breed,ぼく
1880,僕,,人,14,S,1981,me,ボク
1880,僕,,人,14,S,1981,me,ぼく
1882,撲,,手,15,S,,slap,ボク
1882,撲,,手,15,S,,slap,ぼく
1883,没,沒,水,7,S,,drown,ぼつ
1885,堀,,土,11,S,1981,ditch,ほり
1885,堀,,土,11,S,1981,ditch,ほり
1886,本,,木,5,1,,book,ほん
1888,翻,飜,飛,18,S,,flip,ホン
1889,凡,,几,3,S,,mediocre,ボン
1890,盆,,皿,9,S,,basin,ボン
1891,麻,,麻,11,S,,hemp,マ
1891,麻,,麻,11,S,,hemp,ま
1892,摩,,手,15,S,,chafe,ま
1894,魔,,鬼,21,S,,witch,マ
1894,魔,,鬼,21,S,,witch,ま
1895,毎,每,毋,6,2,,every,まい
1896,妹,,女,8,2,,younger sister,まい
1898,昧,,日,9,S,2010,foolish,マイ
1899,埋,,土,10,S,,bury,マイ
1900,幕,,巾,13,6,,curtain,マク
1900,幕,,巾,13,6,,curtain,まく
1902,枕,,木,8,S,2010,pillow,まくら
1903,又,,又,2,S,,or again,また
1903,又,,又,2,S,,or again,また
1904,末,,木,5,4,,end,まつ
1906,万,萬,艸,3,2,,ten thousand,マン
1907,満,滿,水,12,4,,full,マン
1907,満,滿,水,12,4,,full,まん
1909,漫,,水,14,S,,cartoon,マン
1909,漫,,水,14,S,,cartoon,まん
1910,未,,木,5,4,,not yet,み
1911,味,,口,8,3,,flavor,み
1913,岬,,山,8,S,1981,headland,みさき
1914,密,,宀,11,6,,secrecy,ミツ
1914,密,,宀,11,6,,secrecy,みつ
1916,脈,,肉,10,5,,vein,ミャク
1916,脈,,肉,10,5,,vein,みゃく
1917,妙,,女,7,S,,exquisite,みょう
1918,民,,氏,5,4,,people,みん
1920,矛,,矛,5,S,,halberd,ム
1921,務,,力,11,5,,duty,ム
1921,務,,力,11,5,,duty,む
1922,無,,火,12,4,,nothing,む
1924,霧,,雨,19,S,,fog,ム
1925,娘,,女,10,S,,daughter,むすめ
1926,名,,口,6,1,,name,メイ
1926,名,,口,6,1,,name,めい
1927,命,,口,8,3,,fate,めい
1928,明,,日,8,2,,bright,めい
1929,迷,,辵,9,5,,astray,めい
1931,盟,,皿,13,6,,alliance,メイ
1931,盟,,皿,13,6,,alliance,めい
1933,鳴,,鳥,14,2,,chirp,メイ
1933,鳴,,鳥,14,2,,chirp,めい
1934,滅,,水,13,S,,destroy,めつ
1935,免,免,儿,8,S,,excuse,めん
1936,面,,面,9,3,,face,めん
1938,麺,麵,麥,16,S,2010,noodles,メン
1939,茂,,艸,8,S,,overgrown,モ
1939,茂,,艸,8,S,,overgrown,も
1940,模,,木,14,6,,imitation,も
1941,毛,,毛,4,2,,hair,もう
1943,盲,,目,8,S,,blind,モウ
1944,耗,,耒,10,S,,decrease,モウ
1945,猛,,犬,11,S,,fierce,モウ
1946,網,,糸,14,S,,netting,モウ
1946,網,,糸,14,S,,netting,もう
1947,目,,目,5,1,,eye,もく
1949,門,,門,8,2,,gates,モン
1949,門,,門,8,2,,gates,もん
1950,紋,,糸,10,S,,family crest,もん
1951,問,,口,11,3,,question,もん
1953,夜,,夕,8,2,,night,ヤ
1953,夜,,夕,8,2,,night,や
1954,野,,里,11,2,,field,や
1955,弥,彌,弓,8,S,2010,all the more,や
1957,役,,彳,7,3,,service,ヤク
1957,役,,彳,7,3,,service,やく
1958,約,,糸,9,4,,promise,やく
1959,訳,譯,言,11,6,,translate,やく
1960,薬,藥,艸,16,3,,medicine,やく
1962,闇,,門,17,S,2010,darkness,やみ
1963,由,,田,5,3,,reason,ユ
1963,由,,田,5,3,,reason,ゆ
1964,油,,水,8,3,,oil,ゆ
1966,愉,,心,12,S,,pleasure,ユ
1967,諭,,言,16,S,,rebuke,ユ
1968,輸,,車,16,5,,transport,ユ
1968,輸,,車,16,5,,transport,ゆ
1970,唯,,口,11,S,,solely,ユイ
1970,唯,,口,11,S,,solely,ゆい
1971,友,,又,4,2,,friend,ゆう
1972,有,,月,6,3,,have,ゆう
1973,勇,,力,9,4,,courage,ゆう
1974,幽,,幺,9,S,,seclude,ゆう
1976,郵,,邑,11,6,,mail,ユウ
1976,郵,,邑,11,6,,mail,ゆう
1978,猶,,犬,12,S,,furthermore,ユウ
1979,裕,,衣,12,S,,abundant,ユウ
1979,裕,,衣,12,S,,abundant,ゆう
1980,遊,,辵,12,3,,play,ゆう
1981,雄,,隹,12,S,,male,ゆう
1982,誘,,言,14,S,,entice,ゆう
1984,融,,虫,16,S,,dissolve,ユウ
1984,融,,虫,16,S,,dissolve,ゆう
